ID_RICHIES,RICHIESTA,RICHIEST_1,PROCEDIMEN,ESITO PRAT,CHIUSURA P,CODICE VIA,CIVICO,ESPONENTE,LOCALIZZAZ,DESCRIZION,LOCALIZZ_1,ANNO,NOMI_FILE,indirizzo_,lat,lon,fid,ID_STR,COD_EDI,DESCRIZ,COD_TSC,OBJECTID,SIGLA,COD_1,COD_2,COD_3,COD_4,COD_TOT,DESCR,HECTARES,PERIMETER,SHAPE.AREA,SHAPE.LEN,layer,path,ID_STR_2,COD_EDI_2,DESCRIZ_2,COD_TSC_2,OBJECTID_2,SIGLA_2,COD_1_2,COD_2_2,COD_3_2,COD_4_2,COD_TOT_2,DESCR_2,HECTARES_2,PERIMETER_,SHAPE.AR_1,SHAPE.LEN_,layer_2,path_2
187047,2008,2008/07/22,permesso di costruire,Rilasciata,2009/03/05,37550.000000000000000,17.000000000000000,"2",VIA GIOV.BATTISTA MELLONI N.  17 / 2,per ampliamento di due unità immobiliari ad uso abitativo usufruendo dell'ampliamento una-tantum in edificio non classificato - rif. n° 219185/07 (diniegata),VIA GIOVANNI BATTISTA MELLONI N.  17,2008.000000000000000,PDC marzo 2009.xls,"Via Giovanni Battista Melloni 17, Bologna",44.491527300000001,11.319625900000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
187634,2008,2008/07/22,permesso di costruire,Rilasciata,2008/12/04,20500.000000000000000,198.000000000000000,,VIA S.DONATO N.  198,Richiesta di Permesso di Costruire per opere di adeguamento estese all'intero edificio classificato 1B.,VIA S.DONATO N.  198,2008.000000000000000,PDC dicembre 2008.xls,"Via S.Donato 198, Bologna",44.522374999999997,11.404113100000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
216238,2008,2008/09/11,permesso di costruire,Rilasciata,2008/12/18,21350.000000000000000,150.000000000000000,,VIA EMILIA LEVANTE N.  150,"realizzazione di edificio residenziale a piano interrato, terra, primo, secondo e terzo, e demolizione con ricostruzione e cambio d'uso di edificio con destinazione attuale U6",VIA EMILIA LEVANTE N.  150,2008.000000000000000,PDC dicembre 2008.xls,"Via Emilia Levante 150, Bologna",44.479832299999998,11.384475200000001,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
230740,2008,2008/09/26,permesso di costruire,Rilasciata con prescrizioni,2009/02/20,38650.000000000000000,,,VIA DEL MILLIARIO  ( Civico da definire ),Nuova costruzione di edificio ad uso residenziale (n. 7 u.i.),VIA DEL MILLIARIO  ( Civico da definire ),2008.000000000000000,PDC febbraio 2009.xls,"Via Del Milliario ( ), Bologna",44.510651199999998,11.296396500000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
232493,2008,2008/09/29,permesso di costruire,Rilasciata,2009/06/12,34200.000000000000000,9.000000000000000,,VIA S.MAMOLO N.  9,"recupero del complesso edilizio monumentale detto "" convento delle acque """,VIA S.MAMOLO N.  9,2008.000000000000000,PDC giugno 2009.xls,"Via S.Mamolo 9, Bologna",44.486081400000003,11.339134600000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
251817,2008,2008/10/21,permesso di costruire,Rilasciata con prescrizioni,2009/03/10,750.000000000000000,10.000000000000000,,VIA AGUCCHI N.  10,Ampliamento una tantum fuori sagoma per nuova costruzione in sopraelevazione con accorpamento parziale di unità immobiliare,VIA AGUCCHI N.  10,2008.000000000000000,PDC marzo 2009.xls,"Via Agucchi 10, Bologna",44.509685300000001,11.297005199999999,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
282083,2008,2008/11/26,permesso di costruire,Rilasciata,2009/03/17,42350.000000000000000,35.000000000000000,,VIALE ALFREDO ORIANI N.  35,permesso di costruire per variante in corso d'opera alla D.I.A. P.G. 183537/08 per la ricostruzione di n. 2 edifici uno dei quali con intervento di RE4 globale con REV (recupero volumi esistenti) e l’altro con intervento di NC (nuova costruzione) per a,VIALE ALFREDO ORIANI N.  35,2008.000000000000000,PDC marzo 2009.xls,"Viale Alfredo Oriani 35, Bologna",44.483851799999997,11.358561099999999,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
14740,2009,2009/01/23,permesso di costruire,Rilasciata,2009/07/22,17950.000000000000000,102.000000000000000,,VIA DI CORTICELLA N.  102,Variante in corso d'opera essenziale al PdC PG 280376/07 e Dia stralcio PG 273264/08 per opere interne di manutenzione straordinaria nonchè ampliamento della cabina elettrica esistente.,VIA DI CORTICELLA N.  102,2009.000000000000000,PDC luglio 2009.xls,"Via Di Corticella 102, Bologna",44.517344500000000,11.347668199999999,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
43178,2009,2009/02/24,permesso di costruire,Rilasciata,2009/12/03,20500.000000000000000,213.000000000000000,,VIA S.DONATO N.  213,DEMOLIZIONE E RICOSTRUZIONE DI EDIFICIO AD USO CIVILE ABITAZIONE CON CONTESTUALE FRAZIONAMENTO IN N. 6 UNITA' IMMOBILIARI (EDIFICIO INDIVIDUATO CON LA LETTERA A),VIA S.DONATO N.  213,2009.000000000000000,PDC dicembre 2009.xls,"Via S.Donato 213, Bologna",44.524251399999997,11.411347800000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
268955,2009,2009/10/30,permesso di costruire,Rilasciata,2010/04/20,23580.000000000000000,19.000000000000000,,VIA GHERARDO FORNI N.  19,"v.c.o.in corso d'opera per realizzazione di nuova SA interrata sotto sedime , cambio d'uso da 1a a 3b dell'unità al piano 4°(unità 18) aumento del numero delle unità immobiliari da 26 a 27.",VIA GHERARDO FORNI N.  19,2009.000000000000000,PDC aprile 2010.xls,"Via Gherardo Forni 19, Bologna",44.475893399999997,11.373611100000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
306442,2009,2009/12/16,permesso di costruire,Rilasciata con prescrizioni,2011/09/05,61150.000000000000000,18.000000000000000,,VIA VERMENA N.  18,"realizzazione di edificio residenziale, previa demolizione di fabbricato esistente, con aumento del volume ai sensi dell'art. 56, comma 3 del RUE - livello di eccellenza (20%)",VIA VERMENA N.  18,2009.000000000000000,PDC settembre 2011.xls,"Via Vermena 18, Bologna",44.480175299999999,11.380295500000001,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
68757,2010,2010/03/18,permesso di costruire,Rilasciata con prescrizioni,2010/08/05,21350.000000000000000,18.000000000000000,,VIA EMILIA LEVANTE N.  18,demolizione e ricostruzione di intero edificio con diversa sagoma e realizzazione p.interrato ad uso commercio all'auto,VIA EMILIA LEVANTE N.  18,2010.000000000000000,PDC agosto 2010.xls,"Via Emilia Levante 18, Bologna",44.483188300000002,11.375971800000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
